"","analyte","season","community","n","detections_freq"
"78","Fe","Monsoon","Globe/Miami",45,100
"79","Fe","Monsoon","Hayden/Winkelman",26,100
"80","Fe","Monsoon","Tucson",87,100
"81","Mn","Winter","Dewey-Humboldt",34,100
"82","Mn","Winter","Globe/Miami",79,100
"83","Mn","Winter","Hayden/Winkelman",67,100
"84","Mn","Winter","Tucson",220,100
"85","Mn","Monsoon","Dewey-Humboldt",19,100
"86","Mn","Monsoon","Globe/Miami",45,100
"87","Mn","Monsoon","Hayden/Winkelman",26,100
"88","Mn","Monsoon","Tucson",87,100
"89","Mo","Winter","Dewey-Humboldt",34,100
"90","Mo","Winter","Globe/Miami",79,100
"91","Mo","Winter","Hayden/Winkelman",67,100
"92","Mo","Winter","Tucson",220,99.5
"93","Mo","Monsoon","Dewey-Humboldt",19,100
"94","Mo","Monsoon","Globe/Miami",45,100
"95","Mo","Monsoon","Hayden/Winkelman",26,100
"96","Mo","Monsoon","Tucson",87,100
"97","Ni","Winter","Dewey-Humboldt",34,100
"98","Ni","Winter","Globe/Miami",79,100
"99","Ni","Winter","Hayden/Winkelman",67,98.5
"100","Ni","Winter","Tucson",220,99.1
"101","Ni","Monsoon","Dewey-Humboldt",19,100
"102","Ni","Monsoon","Globe/Miami",45,100
"103","Ni","Monsoon","Hayden/Winkelman",26,100
"104","Ni","Monsoon","Tucson",87,100
"105","Pb","Winter","Dewey-Humboldt",34,100
"106","Pb","Winter","Globe/Miami",79,100
"107","Pb","Winter","Hayden/Winkelman",67,100
"108","Pb","Winter","Tucson",220,99.5
"109","Pb","Monsoon","Dewey-Humboldt",19,100
"110","Pb","Monsoon","Globe/Miami",45,100
"111","Pb","Monsoon","Hayden/Winkelman",26,100
"112","Pb","Monsoon","Tucson",87,100
"113","Sb","Winter","Dewey-Humboldt",34,100
"114","Sb","Winter","Globe/Miami",79,100
"115","Sb","Winter","Hayden/Winkelman",67,100
"116","Sb","Winter","Tucson",220,100
"117","Sb","Monsoon","Dewey-Humboldt",19,100
"118","Sb","Monsoon","Globe/Miami",45,100
"119","Sb","Monsoon","Hayden/Winkelman",26,100
"120","Sb","Monsoon","Tucson",87,100
"121","Se","Winter","Dewey-Humboldt",34,44.1
"122","Se","Winter","Globe/Miami",79,41.8
"123","Se","Winter","Hayden/Winkelman",67,52.2
"124","Se","Winter","Tucson",220,49.5
"125","Se","Monsoon","Dewey-Humboldt",19,31.6
"126","Se","Monsoon","Globe/Miami",45,55.6
"127","Se","Monsoon","Hayden/Winkelman",26,73.1
"128","Se","Monsoon","Tucson",87,46
"129","Sn","Winter","Dewey-Humboldt",34,55.9
"130","Sn","Winter","Globe/Miami",79,75.9
"131","Sn","Winter","Hayden/Winkelman",67,74.6
"132","Sn","Winter","Tucson",220,85.5
"133","Sn","Monsoon","Dewey-Humboldt",19,100
"134","Sn","Monsoon","Globe/Miami",45,100
"135","Sn","Monsoon","Hayden/Winkelman",26,100
"136","Sn","Monsoon","Tucson",87,100
"137","V","Winter","Dewey-Humboldt",34,61.8
"138","V","Winter","Globe/Miami",79,57
"139","V","Winter","Hayden/Winkelman",67,80.6
"140","V","Winter","Tucson",220,83.6
"141","V","Monsoon","Dewey-Humboldt",19,100
"142","V","Monsoon","Globe/Miami",45,91.1
"143","V","Monsoon","Hayden/Winkelman",26,96.2
"144","V","Monsoon","Tucson",87,96.6
"145","Zn","Winter","Dewey-Humboldt",34,100
"146","Zn","Winter","Globe/Miami",79,100
"147","Zn","Winter","Hayden/Winkelman",67,100
"148","Zn","Winter","Tucson",220,100
"149","Zn","Monsoon","Dewey-Humboldt",19,100
"150","Zn","Monsoon","Globe/Miami",45,100
"151","Zn","Monsoon","Hayden/Winkelman",26,100
"152","Zn","Monsoon","Tucson",87,100
