"","analyte","season","community","n","AI","DW","FB","LDW","PB"
"72","Mo","Monsoon","Tucson",87,6.9,NA,NA,NA,NA
"73","Ni","Winter","Dewey-Humboldt",34,0,0,0,NA,0
"74","Ni","Winter","Globe/Miami",79,2.5,2.5,0,NA,0
"75","Ni","Winter","Hayden/Winkelman",67,0,0,0,NA,0
"76","Ni","Winter","Tucson",220,0,0,0,NA,0
"77","Ni","Monsoon","Dewey-Humboldt",19,0,0,0,NA,0
"78","Ni","Monsoon","Globe/Miami",45,0,0,0,NA,0
"79","Ni","Monsoon","Hayden/Winkelman",26,0,0,0,NA,0
"80","Ni","Monsoon","Tucson",87,0,0,0,NA,0
"81","Pb","Winter","Dewey-Humboldt",34,0,0,0,0,0
"82","Pb","Winter","Globe/Miami",79,0,0,0,0,0
"83","Pb","Winter","Hayden/Winkelman",67,0,1.5,1.5,0,1.5
"84","Pb","Winter","Tucson",220,0,2.7,2.7,0.45,2.7
"85","Pb","Monsoon","Dewey-Humboldt",19,0,0,0,0,0
"86","Pb","Monsoon","Globe/Miami",45,0,6.7,6.7,0,6.7
"87","Pb","Monsoon","Hayden/Winkelman",26,0,15,15,0,15
"88","Pb","Monsoon","Tucson",87,0,5.7,5.7,1.1,5.7
"89","Se","Winter","Dewey-Humboldt",34,0,0,0,0,0
"90","Se","Winter","Globe/Miami",79,0,0,0,0,0
"91","Se","Winter","Hayden/Winkelman",67,0,0,0,0,0
"92","Se","Winter","Tucson",220,0,0,0,0,0
"93","Se","Monsoon","Dewey-Humboldt",19,0,0,0,0,0
"94","Se","Monsoon","Globe/Miami",45,0,0,0,0,0
"95","Se","Monsoon","Hayden/Winkelman",26,0,0,0,0,0
"96","Se","Monsoon","Tucson",87,0,0,0,0,0
"97","V","Winter","Dewey-Humboldt",34,0,NA,NA,0,NA
"98","V","Winter","Globe/Miami",79,0,NA,NA,0,NA
"99","V","Winter","Hayden/Winkelman",67,0,NA,NA,0,NA
"100","V","Winter","Tucson",220,0,NA,NA,0,NA
"101","V","Monsoon","Dewey-Humboldt",19,0,NA,NA,0,NA
"102","V","Monsoon","Globe/Miami",45,0,NA,NA,0,NA
"103","V","Monsoon","Hayden/Winkelman",26,0,NA,NA,0,NA
"104","V","Monsoon","Tucson",87,0,NA,NA,0,NA
"105","Zn","Winter","Dewey-Humboldt",34,0,0,0,0,0
"106","Zn","Winter","Globe/Miami",79,3.8,0,0,0,0
"107","Zn","Winter","Hayden/Winkelman",67,0,0,0,0,0
"108","Zn","Winter","Tucson",220,4.5,2.3,0,0,0
"109","Zn","Monsoon","Dewey-Humboldt",19,5.3,0,0,0,0
"110","Zn","Monsoon","Globe/Miami",45,4.4,0,0,0,0
"111","Zn","Monsoon","Hayden/Winkelman",26,3.8,3.8,0,0,0
"112","Zn","Monsoon","Tucson",87,9.2,5.7,0,0,0
"113","Ba","Winter","Dewey-Humboldt",34,NA,0,0,0,0
"114","Ba","Winter","Globe/Miami",79,NA,0,0,0,0
"115","Ba","Winter","Hayden/Winkelman",67,NA,0,0,0,0
"116","Ba","Winter","Tucson",220,NA,0,0,0,0
"117","Ba","Monsoon","Dewey-Humboldt",19,NA,0,0,0,0
"118","Ba","Monsoon","Globe/Miami",45,NA,0,0,0,0
"119","Ba","Monsoon","Hayden/Winkelman",26,NA,0,0,0,0
"120","Ba","Monsoon","Tucson",87,NA,0,0,0,0
"121","Sb","Winter","Dewey-Humboldt",34,NA,0,0,NA,0
"122","Sb","Winter","Globe/Miami",79,NA,0,0,NA,0
"123","Sb","Winter","Hayden/Winkelman",67,NA,0,0,NA,0
"124","Sb","Winter","Tucson",220,NA,0.91,0,NA,0
"125","Sb","Monsoon","Dewey-Humboldt",19,NA,0,0,NA,0
"126","Sb","Monsoon","Globe/Miami",45,NA,0,0,NA,0
"127","Sb","Monsoon","Hayden/Winkelman",26,NA,12,0,NA,0
"128","Sb","Monsoon","Tucson",87,NA,3.4,0,NA,0
"129","Ag","Winter","Dewey-Humboldt",34,NA,NA,0,NA,0
"130","Ag","Winter","Globe/Miami",79,NA,NA,0,NA,0
"131","Ag","Winter","Hayden/Winkelman",67,NA,NA,0,NA,0
"132","Ag","Winter","Tucson",220,NA,NA,0,NA,0
"133","Ag","Monsoon","Dewey-Humboldt",19,NA,NA,0,NA,0
"134","Ag","Monsoon","Globe/Miami",45,NA,NA,0,NA,0
"135","Ag","Monsoon","Hayden/Winkelman",26,NA,NA,0,NA,0
"136","Ag","Monsoon","Tucson",87,NA,NA,0,NA,0
"137","Co","Winter","Dewey-Humboldt",34,NA,NA,NA,0,NA
"138","Co","Winter","Globe/Miami",79,NA,NA,NA,0,NA
"139","Co","Winter","Hayden/Winkelman",67,NA,NA,NA,0,NA
"140","Co","Winter","Tucson",220,NA,NA,NA,0,NA
"141","Co","Monsoon","Dewey-Humboldt",19,NA,NA,NA,0,NA
"142","Co","Monsoon","Globe/Miami",45,NA,NA,NA,0,NA
"143","Co","Monsoon","Hayden/Winkelman",26,NA,NA,NA,0,NA
"144","Co","Monsoon","Tucson",87,NA,NA,NA,0,NA
