"","demographic","community","value","n","N","perc"
"100","Income Level","Hayden/Winkelman","Extremely Low Income 2015 HUD Guidelines",2,105,"1.9%"
"101","Income Level","Hayden/Winkelman","Low Income 2015 HUD Guidelines",2,105,"1.9%"
"102","Income Level","Hayden/Winkelman","Not Low Income",10,105,"9.5%"
"103","Income Level","Hayden/Winkelman","Very Low Income 2015 HUD Guidelines",1,105,"1%"
"104","Income Level","Tucson","Extremely Low Income 2015 HUD Guidelines",17,105,"16.2%"
"105","Income Level","Tucson","Low Income 2015 HUD Guidelines",8,105,"7.6%"
"106","Income Level","Tucson","Not Low Income",28,105,"26.7%"
"107","Income Level","Tucson","Very Low Income 2015 HUD Guidelines",8,105,"7.6%"
"108","Low Income","Dewey-Humboldt","Low Income or Below",4,105,"3.8%"
"109","Low Income","Dewey-Humboldt","Not Low Income",5,105,"4.8%"
"110","Low Income","Globe/Miami","Low Income or Below",11,105,"10.5%"
"111","Low Income","Globe/Miami","Not Low Income",9,105,"8.6%"
"112","Low Income","Hayden/Winkelman","Low Income or Below",5,105,"4.8%"
"113","Low Income","Hayden/Winkelman","Not Low Income",10,105,"9.5%"
"114","Low Income","Tucson","Low Income or Below",33,105,"31.4%"
"115","Low Income","Tucson","Not Low Income",28,105,"26.7%"
"116","MultipleRaces","Dewey-Humboldt","White, Caucasian, European American/Latino or Hispanic/African-American",1,3,"33.3%"
"117","MultipleRaces","Tucson","Latino or Hispanic/Other/American Indian, tive American, or Alaskan tive",1,3,"33.3%"
"118","MultipleRaces","Tucson","White, Caucasian, European American/tive Hawaiian or Other Pacific Islander",1,3,"33.3%"
"119","Primary Language","Dewey-Humboldt","English",12,119,"10.1%"
"120","Primary Language","Globe/Miami","English",24,119,"20.2%"
"121","Primary Language","Hayden/Winkelman","English",17,119,"14.3%"
"122","Primary Language","Tucson","English",36,119,"30.3%"
"123","Primary Language","Tucson","Spanish",30,119,"25.2%"
"124","Race Ethnicity","Dewey-Humboldt","Multiple",1,116,"0.9%"
"125","Race Ethnicity","Dewey-Humboldt","Other",1,116,"0.9%"
"126","Race Ethnicity","Dewey-Humboldt","White, Caucasian, European American",9,116,"7.8%"
"127","Race Ethnicity","Globe/Miami","Asian, Asian-American",2,116,"1.7%"
"128","Race Ethnicity","Globe/Miami","Hispanic or Latino",4,116,"3.4%"
"129","Race Ethnicity","Globe/Miami","White, Caucasian, European American",18,116,"15.5%"
"130","Race Ethnicity","Hayden/Winkelman","Hispanic or Latino",15,116,"12.9%"
"131","Race Ethnicity","Hayden/Winkelman","White, Caucasian, European American",2,116,"1.7%"
"132","Race Ethnicity","Tucson","Asian, Asian-American",2,116,"1.7%"
"133","Race Ethnicity","Tucson","Hispanic or Latino",30,116,"25.9%"
"134","Race Ethnicity","Tucson","Multiple",2,116,"1.7%"
"135","Race Ethnicity","Tucson","White, Caucasian, European American",30,116,"25.9%"
"136","SecondaryLanguage","Dewey-Humboldt","English",1,40,"2.5%"
"137","SecondaryLanguage","Globe/Miami","Korean",2,40,"5%"
"138","SecondaryLanguage","Globe/Miami","Spanish",6,40,"15%"
"139","SecondaryLanguage","Hayden/Winkelman","Spanish",11,40,"27.5%"
"140","SecondaryLanguage","Tucson","English",9,40,"22.5%"
"141","SecondaryLanguage","Tucson","French",1,40,"2.5%"
"142","SecondaryLanguage","Tucson","German",1,40,"2.5%"
"143","SecondaryLanguage","Tucson","Spanish",9,40,"22.5%"
"144","Zip","Dewey-Humboldt","86314",2,118,"1.7%"
"145","Zip","Dewey-Humboldt","86327",7,118,"5.9%"
"146","Zip","Dewey-Humboldt","86333",3,118,"2.5%"
"147","Zip","Globe/Miami","85501",19,118,"16.1%"
"148","Zip","Globe/Miami","85502",3,118,"2.5%"
"149","Zip","Globe/Miami","85539",2,118,"1.7%"
"150","Zip","Hayden/Winkelman","85135",5,118,"4.2%"
"151","Zip","Hayden/Winkelman","85192",11,118,"9.3%"
"152","Zip","Hayden/Winkelman","85739",1,118,"0.8%"
"153","Zip","Tucson","85705",3,118,"2.5%"
"154","Zip","Tucson","85706",6,118,"5.1%"
"155","Zip","Tucson","85711",7,118,"5.9%"
"156","Zip","Tucson","85712",2,118,"1.7%"
"157","Zip","Tucson","85713",11,118,"9.3%"
"158","Zip","Tucson","85714",5,118,"4.2%"
"159","Zip","Tucson","85716",3,118,"2.5%"
"160","Zip","Tucson","85718",1,118,"0.8%"
"161","Zip","Tucson","85719",6,118,"5.1%"
"162","Zip","Tucson","85730",1,118,"0.8%"
"163","Zip","Tucson","85745",7,118,"5.9%"
"164","Zip","Tucson","85746",2,118,"1.7%"
"165","Zip","Tucson","85748",3,118,"2.5%"
"166","Zip","Tucson","85749",4,118,"3.4%"
"167","Zip","Tucson","85750",1,118,"0.8%"
"168","Zip","Tucson","85756",3,118,"2.5%"
