"","demographic","community_2","value","n","N","perc"
"100","household_size","Hayden/Winkelman","2",4,112,"3.6%"
"101","household_size","Hayden/Winkelman","3",3,112,"2.7%"
"102","household_size","Hayden/Winkelman","4",2,112,"1.8%"
"103","household_size","Hayden/Winkelman","5-6",4,112,"3.6%"
"104","household_size","Tucson","1",6,112,"5.4%"
"105","household_size","Tucson","2",17,112,"15.2%"
"106","household_size","Tucson","3",1,112,"0.9%"
"107","household_size","Tucson","4",4,112,"3.6%"
"108","household_size","Tucson","5-6",2,112,"1.8%"
"109","household_size","Tucson Spanish","1",4,112,"3.6%"
"110","household_size","Tucson Spanish","2",14,112,"12.5%"
"111","household_size","Tucson Spanish","3",6,112,"5.4%"
"112","household_size","Tucson Spanish","4",3,112,"2.7%"
"113","household_size","Tucson Spanish","5-6",5,112,"4.5%"
"114","Income Level","Dewey-Humboldt","Low Income 2015 HUD Guidelines",4,105,"3.8%"
"115","Income Level","Dewey-Humboldt","Not Low Income",5,105,"4.8%"
"116","Income Level","Globe/Miami","Extremely Low Income 2015 HUD Guidelines",3,105,"2.9%"
"117","Income Level","Globe/Miami","Low Income 2015 HUD Guidelines",4,105,"3.8%"
"118","Income Level","Globe/Miami","Not Low Income",9,105,"8.6%"
"119","Income Level","Globe/Miami","Very Low Income 2015 HUD Guidelines",4,105,"3.8%"
"120","Income Level","Hayden/Winkelman","Extremely Low Income 2015 HUD Guidelines",2,105,"1.9%"
"121","Income Level","Hayden/Winkelman","Low Income 2015 HUD Guidelines",2,105,"1.9%"
"122","Income Level","Hayden/Winkelman","Not Low Income",10,105,"9.5%"
"123","Income Level","Hayden/Winkelman","Very Low Income 2015 HUD Guidelines",1,105,"1%"
"124","Income Level","Tucson","Extremely Low Income 2015 HUD Guidelines",2,105,"1.9%"
"125","Income Level","Tucson","Low Income 2015 HUD Guidelines",3,105,"2.9%"
"126","Income Level","Tucson","Not Low Income",24,105,"22.9%"
"127","Income Level","Tucson","Very Low Income 2015 HUD Guidelines",1,105,"1%"
"128","Income Level","Tucson Spanish","Extremely Low Income 2015 HUD Guidelines",15,105,"14.3%"
"129","Income Level","Tucson Spanish","Low Income 2015 HUD Guidelines",5,105,"4.8%"
"130","Income Level","Tucson Spanish","Not Low Income",4,105,"3.8%"
"131","Income Level","Tucson Spanish","Very Low Income 2015 HUD Guidelines",7,105,"6.7%"
"132","Low Income","Dewey-Humboldt","Low Income or Below",4,105,"3.8%"
"133","Low Income","Dewey-Humboldt","Not Low Income",5,105,"4.8%"
"134","Low Income","Globe/Miami","Low Income or Below",11,105,"10.5%"
"135","Low Income","Globe/Miami","Not Low Income",9,105,"8.6%"
"136","Low Income","Hayden/Winkelman","Low Income or Below",5,105,"4.8%"
"137","Low Income","Hayden/Winkelman","Not Low Income",10,105,"9.5%"
"138","Low Income","Tucson","Low Income or Below",6,105,"5.7%"
"139","Low Income","Tucson","Not Low Income",24,105,"22.9%"
"140","Low Income","Tucson Spanish","Low Income or Below",27,105,"25.7%"
"141","Low Income","Tucson Spanish","Not Low Income",4,105,"3.8%"
"142","MultipleRaces","Dewey-Humboldt","White, Caucasian, European American/Latino or Hispanic/African-American",1,3,"33.3%"
"143","MultipleRaces","Tucson Spanish","Latino or Hispanic/Other/American Indian, tive American, or Alaskan tive",1,3,"33.3%"
"144","MultipleRaces","Tucson Spanish","White, Caucasian, European American/tive Hawaiian or Other Pacific Islander",1,3,"33.3%"
"145","Primary Language","Dewey-Humboldt","English",12,119,"10.1%"
"146","Primary Language","Globe/Miami","English",24,119,"20.2%"
"147","Primary Language","Hayden/Winkelman","English",17,119,"14.3%"
"148","Primary Language","Tucson","English",30,119,"25.2%"
"149","Primary Language","Tucson","Spanish",1,119,"0.8%"
"150","Primary Language","Tucson Spanish","English",6,119,"5%"
"151","Primary Language","Tucson Spanish","Spanish",29,119,"24.4%"
"152","Race Ethnicity","Dewey-Humboldt","Multiple",1,116,"0.9%"
"153","Race Ethnicity","Dewey-Humboldt","Other",1,116,"0.9%"
"154","Race Ethnicity","Dewey-Humboldt","White, Caucasian, European American",9,116,"7.8%"
"155","Race Ethnicity","Globe/Miami","Asian, Asian-American",2,116,"1.7%"
"156","Race Ethnicity","Globe/Miami","Hispanic or Latino",4,116,"3.4%"
"157","Race Ethnicity","Globe/Miami","White, Caucasian, European American",18,116,"15.5%"
"158","Race Ethnicity","Hayden/Winkelman","Hispanic or Latino",15,116,"12.9%"
"159","Race Ethnicity","Hayden/Winkelman","White, Caucasian, European American",2,116,"1.7%"
"160","Race Ethnicity","Tucson","Asian, Asian-American",2,116,"1.7%"
"161","Race Ethnicity","Tucson","Hispanic or Latino",3,116,"2.6%"
"162","Race Ethnicity","Tucson","White, Caucasian, European American",26,116,"22.4%"
"163","Race Ethnicity","Tucson Spanish","Hispanic or Latino",27,116,"23.3%"
"164","Race Ethnicity","Tucson Spanish","Multiple",2,116,"1.7%"
"165","Race Ethnicity","Tucson Spanish","White, Caucasian, European American",4,116,"3.4%"
"166","SecondaryLanguage","Dewey-Humboldt","English",1,40,"2.5%"
"167","SecondaryLanguage","Globe/Miami","Korean",2,40,"5%"
"168","SecondaryLanguage","Globe/Miami","Spanish",6,40,"15%"
"169","SecondaryLanguage","Hayden/Winkelman","Spanish",11,40,"27.5%"
"170","SecondaryLanguage","Tucson","English",1,40,"2.5%"
"171","SecondaryLanguage","Tucson","French",1,40,"2.5%"
"172","SecondaryLanguage","Tucson","Spanish",7,40,"17.5%"
"173","SecondaryLanguage","Tucson Spanish","English",8,40,"20%"
"174","SecondaryLanguage","Tucson Spanish","German",1,40,"2.5%"
"175","SecondaryLanguage","Tucson Spanish","Spanish",2,40,"5%"
"176","Zip","Dewey-Humboldt","86314",2,118,"1.7%"
"177","Zip","Dewey-Humboldt","86327",7,118,"5.9%"
"178","Zip","Dewey-Humboldt","86333",3,118,"2.5%"
"179","Zip","Globe/Miami","85501",19,118,"16.1%"
"180","Zip","Globe/Miami","85502",3,118,"2.5%"
"181","Zip","Globe/Miami","85539",2,118,"1.7%"
"182","Zip","Hayden/Winkelman","85135",5,118,"4.2%"
"183","Zip","Hayden/Winkelman","85192",11,118,"9.3%"
"184","Zip","Hayden/Winkelman","85739",1,118,"0.8%"
"185","Zip","Tucson","85705",3,118,"2.5%"
"186","Zip","Tucson","85711",4,118,"3.4%"
"187","Zip","Tucson","85713",2,118,"1.7%"
"188","Zip","Tucson","85716",3,118,"2.5%"
"189","Zip","Tucson","85718",1,118,"0.8%"
"190","Zip","Tucson","85719",4,118,"3.4%"
"191","Zip","Tucson","85745",7,118,"5.9%"
"192","Zip","Tucson","85748",2,118,"1.7%"
"193","Zip","Tucson","85749",4,118,"3.4%"
"194","Zip","Tucson","85750",1,118,"0.8%"
"195","Zip","Tucson Spanish","85706",6,118,"5.1%"
"196","Zip","Tucson Spanish","85711",3,118,"2.5%"
"197","Zip","Tucson Spanish","85712",2,118,"1.7%"
"198","Zip","Tucson Spanish","85713",9,118,"7.6%"
"199","Zip","Tucson Spanish","85714",5,118,"4.2%"
"200","Zip","Tucson Spanish","85719",2,118,"1.7%"
"201","Zip","Tucson Spanish","85730",1,118,"0.8%"
"202","Zip","Tucson Spanish","85746",2,118,"1.7%"
"203","Zip","Tucson Spanish","85748",1,118,"0.8%"
"204","Zip","Tucson Spanish","85756",3,118,"2.5%"
