"","analyte","community","season","n","min","max","median","mean","sd","gmean","gsd"
"97","Ni","Dewey-Humboldt","Winter",27,0.0571,59.7,0.464,2.82,11.4,0.557,3.41
"98","Ni","Dewey-Humboldt","Monsoon",15,0.299,4.29,1.63,1.94,1.29,1.45,2.4
"99","Ni","Globe/Miami","Winter",68,0.0841,466,0.561,11.6,62,0.733,4.58
"100","Ni","Globe/Miami","Monsoon",39,0.185,68.8,1.62,4.32,11,1.98,2.77
"101","Ni","Hayden/Winkelman","Winter",55,0.083,1.72,0.452,0.506,0.301,0.431,1.81
"102","Ni","Hayden/Winkelman","Monsoon",18,0.336,4.18,1.03,1.43,1.05,1.11,2.1
"103","Ni","Tucson","Winter",131,0.0681,10.2,0.593,1.02,1.53,0.651,2.3
"104","Ni","Tucson","Monsoon",57,0.37,17.4,1.17,2.18,3.03,1.42,2.25
"105","Pb","Dewey-Humboldt","Winter",27,0.0263,2.92,0.176,0.676,0.855,0.295,3.88
"106","Pb","Dewey-Humboldt","Monsoon",15,0.0142,3.18,0.292,0.625,0.841,0.31,3.7
"107","Pb","Globe/Miami","Winter",68,0.0785,4.4,0.496,0.812,0.844,0.508,2.72
"108","Pb","Globe/Miami","Monsoon",39,0.0355,27.2,0.946,3.28,5.71,0.997,5
"109","Pb","Hayden/Winkelman","Winter",55,0.0319,19.3,0.621,1.51,3.12,0.623,3.61
"110","Pb","Hayden/Winkelman","Monsoon",18,0.193,23.6,1.03,3.93,6.52,1.25,4.72
"111","Pb","Tucson","Winter",131,0.0377,350,0.472,4.22,30.7,0.556,4.16
"112","Pb","Tucson","Monsoon",57,0.0484,75.4,1.15,3.31,10.2,0.919,4.5
"113","Sb","Dewey-Humboldt","Winter",27,0.106,1.38,0.254,0.351,0.258,0.293,1.78
"114","Sb","Dewey-Humboldt","Monsoon",15,0.21,0.864,0.512,0.504,0.165,0.477,1.43
"115","Sb","Globe/Miami","Winter",68,0.12,1.82,0.42,0.558,0.37,0.456,1.9
"116","Sb","Globe/Miami","Monsoon",39,0.197,4.42,0.549,0.812,0.9,0.602,2
"117","Sb","Hayden/Winkelman","Winter",55,0.16,4.67,0.607,0.748,0.696,0.583,1.97
"118","Sb","Hayden/Winkelman","Monsoon",18,0.232,9.15,1.15,1.91,2.12,1.26,2.53
"119","Sb","Tucson","Winter",131,0.11,5.35,0.592,0.717,0.622,0.575,1.9
"120","Sb","Tucson","Monsoon",57,0.279,8.16,0.617,1.03,1.34,0.739,2.02
"121","Se","Dewey-Humboldt","Winter",27,0.16,4.97,1.24,1.59,1.05,1.29,2.03
"122","Se","Dewey-Humboldt","Monsoon",15,0.19,11.7,3,2.94,2.81,1.84,3.16
"123","Se","Globe/Miami","Winter",68,0.16,7.43,1.16,1.76,1.58,1.25,2.38
"124","Se","Globe/Miami","Monsoon",39,0.25,7.42,1.78,2.11,1.77,1.37,2.75
"125","Se","Hayden/Winkelman","Winter",55,0.296,6.16,1.51,1.65,1.27,1.32,1.96
"126","Se","Hayden/Winkelman","Monsoon",18,0.25,4.8,2.55,2.41,1.4,1.87,2.34
"127","Se","Tucson","Winter",131,0.16,11.6,1.14,1.49,1.55,1,2.5
"128","Se","Tucson","Monsoon",57,0.19,8.25,3,2.75,1.83,1.93,2.73
"129","Sn","Dewey-Humboldt","Winter",27,0.011,2.47,0.0356,0.165,0.472,0.052,3.38
"130","Sn","Dewey-Humboldt","Monsoon",15,0.0173,0.461,0.104,0.122,0.115,0.0839,2.54
"131","Sn","Globe/Miami","Winter",68,0.00511,80.7,0.0616,1.38,9.79,0.0728,4.17
"132","Sn","Globe/Miami","Monsoon",39,0.0201,13.9,0.135,0.999,3.09,0.195,4.02
"133","Sn","Hayden/Winkelman","Winter",55,0.00196,2.94,0.044,0.182,0.437,0.055,4.35
"134","Sn","Hayden/Winkelman","Monsoon",18,0.0243,1.01,0.107,0.164,0.22,0.109,2.3
"135","Sn","Tucson","Winter",131,0.011,1.76,0.0764,0.153,0.232,0.0857,2.78
"136","Sn","Tucson","Monsoon",57,0.018,3.21,0.201,0.413,0.574,0.215,3.17
"137","V","Dewey-Humboldt","Winter",27,0.145,4.9,1.4,1.58,1.13,1.23,2.17
"138","V","Dewey-Humboldt","Monsoon",15,0.672,9.54,5.11,4.67,2.76,3.71,2.19
"139","V","Globe/Miami","Winter",68,0.176,13.2,0.917,1.41,1.85,0.982,2.18
"140","V","Globe/Miami","Monsoon",39,0.465,6.78,2.28,2.7,1.85,2.08,2.17
"141","V","Hayden/Winkelman","Winter",55,0.173,17.5,1.4,1.86,2.32,1.4,2.01
"142","V","Hayden/Winkelman","Monsoon",18,0.527,9.98,4.77,4.18,2.85,3.08,2.42
"143","V","Tucson","Winter",131,0.23,27,1.54,2.45,3.5,1.58,2.4
"144","V","Tucson","Monsoon",57,0.49,29,3.12,4.12,4.38,2.9,2.3
"145","Zn","Dewey-Humboldt","Winter",27,1.4,639,32,112,182,38.2,4.45
"146","Zn","Dewey-Humboldt","Monsoon",15,6.82,3640,24.8,316,932,45.5,5.21
"147","Zn","Globe/Miami","Winter",68,3.94,2590,78,280,538,88.5,4.51
"148","Zn","Globe/Miami","Monsoon",39,7.22,4170,220,477,864,186,4.3
"149","Zn","Hayden/Winkelman","Winter",55,5.95,1280,44.4,147,282,50.1,3.92
"150","Zn","Hayden/Winkelman","Monsoon",18,7.84,976,60.3,170,245,75.5,3.74
"151","Zn","Tucson","Winter",131,2.4,7630,96,336,1040,99.4,3.63
"152","Zn","Tucson","Monsoon",57,9.46,12700,100,582,1950,115,4.33
"153","pli","Dewey-Humboldt","Winter",27,0.148,5.99,0.771,1.08,1.08,0.826,2.03
"154","pli","Dewey-Humboldt","Monsoon",15,0.511,7.88,1.62,2.18,1.92,1.64,2.14
"155","pli","Globe/Miami","Winter",68,0.244,24.6,1.54,2.35,3.18,1.66,2.1
"156","pli","Globe/Miami","Monsoon",39,0.369,21.7,3.78,5.14,4.42,3.87,2.18
"157","pli","Hayden/Winkelman","Winter",55,0.169,10.2,2.04,2.36,1.8,1.79,2.27
"158","pli","Hayden/Winkelman","Monsoon",18,1.13,13.4,3.3,4.65,3.84,3.47,2.17
"159","pli","Tucson","Winter",131,0.118,13.1,1.27,1.65,1.59,1.3,1.93
"160","pli","Tucson","Monsoon",57,0.857,7.15,2.1,2.6,1.54,2.23,1.74
