"","analyte","Household Size","n","min","max","median","mean","sd","gmean","gsd"
"92","Pb","1",74,0.0142,20.8,0.5,1.28,2.76,0.493,3.79
"93","Pb","2",178,0.0263,75.4,0.496,1.84,6.1,0.589,4.05
"94","Pb","3",53,0.0712,23.6,0.626,2.17,4.67,0.711,3.99
"95","Pb","4",35,0.0681,350,0.684,11.9,59,0.808,5.54
"96","Pb","5",47,0.0382,16.4,0.492,1.45,3.32,0.508,3.58
"97","Pb","6",9,0.193,13.4,0.608,2.11,4.28,0.746,3.74
"98","Pb",NA,14,0.408,27.2,1.05,4.6,8.03,1.52,4.02
"99","Sb","1",74,0.12,4.42,0.591,0.751,0.74,0.564,2.05
"100","Sb","2",178,0.106,5.35,0.536,0.698,0.631,0.542,1.99
"101","Sb","3",53,0.169,4.67,0.679,0.918,0.849,0.706,1.99
"102","Sb","4",35,0.122,2.6,0.529,0.685,0.536,0.542,1.98
"103","Sb","5",47,0.11,8.16,0.533,0.871,1.45,0.557,2.17
"104","Sb","6",9,0.263,9.15,0.657,1.57,2.86,0.75,2.91
"105","Sb",NA,14,0.173,1.67,0.445,0.532,0.381,0.446,1.81
"106","Se","1",74,0.16,11.7,1.16,1.71,1.78,1.13,2.57
"107","Se","2",178,0.16,11.6,1.52,1.85,1.57,1.31,2.41
"108","Se","3",53,0.25,6.9,1.6,2.15,1.48,1.64,2.27
"109","Se","4",35,0.16,7.43,0.917,1.79,1.98,1.01,3.06
"110","Se","5",47,0.229,8.25,1.3,1.95,1.73,1.35,2.49
"111","Se","6",9,0.25,4.68,1.1,1.78,1.56,1.28,2.45
"112","Se",NA,14,0.16,7.42,1.6,2.47,2.1,1.67,2.75
"113","Sn","1",74,0.00387,6.02,0.0606,0.243,0.835,0.0635,3.68
"114","Sn","2",178,0.00887,2.94,0.09,0.197,0.355,0.0931,3.15
"115","Sn","3",53,0.0142,3.21,0.119,0.321,0.562,0.139,3.59
"116","Sn","4",35,0.00196,0.986,0.1,0.128,0.166,0.0768,3.05
"117","Sn","5",47,0.011,80.7,0.109,2.16,11.9,0.117,4.79
"118","Sn","6",9,0.011,0.968,0.03,0.156,0.308,0.054,3.97
"119","Sn",NA,14,0.0217,13.9,0.262,1.32,3.64,0.241,5.8
"120","V","1",74,0.145,11.4,1.4,2.12,1.94,1.54,2.26
"121","V","2",178,0.216,18.3,1.4,2.34,2.66,1.52,2.49
"122","V","3",53,0.44,29,1.99,4.15,6.02,2.5,2.44
"123","V","4",35,0.276,7.59,1.68,2.43,2.04,1.74,2.36
"124","V","5",47,0.342,8.06,1.98,2.52,1.84,1.92,2.19
"125","V","6",9,0.44,9.98,1.55,2.28,2.95,1.45,2.53
"126","V",NA,14,0.176,6.08,1.09,2.09,1.98,1.31,2.89
"127","Zn","1",74,3.68,646,64.5,108,119,62.8,3.1
"128","Zn","2",178,1.4,12700,99.4,555,1500,110,5.35
"129","Zn","3",53,7.26,1280,56.2,208,308,86.6,3.71
"130","Zn","4",35,5.15,586,47.1,105,123,59.4,3.08
"131","Zn","5",47,2.4,1190,88.5,194,248,89.7,3.9
"132","Zn","6",9,6.39,541,43.9,98.3,168,47.2,3.29
"133","Zn",NA,14,13.2,784,79.9,168,217,82.8,3.53
"134","pli","1",74,0.199,10.9,1.46,1.85,1.61,1.4,2.13
"135","pli","2",178,0.148,24.6,1.66,2.54,2.71,1.8,2.25
"136","pli","3",53,0.436,13.4,1.88,2.85,2.69,2.07,2.19
"137","pli","4",35,0.127,10.7,1.46,2.12,2.18,1.5,2.28
"138","pli","5",47,0.118,8.34,1.58,2.14,1.64,1.67,2.1
"139","pli","6",9,0.882,6.46,1.68,2.29,1.79,1.84,1.94
"140","pli",NA,14,0.923,21.7,1.38,4.56,6.84,2.24,2.98
